LONGITUDE_largegrid,LATITUDE_largegrid,STANDARDISED_KRILL_UNDER_1M2,STANDARDISED_KRILL_UNDER_1M2_log
-49,-73,,
-49,-71,,
-49,-69,,
-49,-67,,
-49,-65,138.963,2.146013242681135
-49,-63,69.07688888888889,1.8455748127893044
-49,-61,45.59498275862069,1.6683391553691003
-49,-59,35.47478612716763,1.5619927540524463
-49,-57,35.950057692307695,1.567615120821002
-49,-55,1.4053333333333333,0.38117526981422284
-49,-53,1.6875,0.42934847292366174
-49,-51,0.03342857142857143,0.014280464411344066
-49,-49,0.0,0.0
-49,-47,,
-47,-77,0.0,0.0
-47,-75,0.04090909090909091,0.0174128015176818
-47,-73,,
-47,-71,,
-47,-69,,
-47,-67,,
-47,-65,138.963,2.146013242681135
-47,-63,69.07688888888889,1.8455748127893044
-47,-61,45.59498275862069,1.6683391553691003
-47,-59,35.47478612716763,1.5619927540524463
-47,-57,35.950057692307695,1.567615120821002
-47,-55,1.4053333333333333,0.38117526981422284
-47,-53,1.6875,0.42934847292366174
-47,-51,0.03342857142857143,0.014280464411344066
-47,-49,0.0,0.0
-47,-47,,
-45,-77,0.0,0.0
-45,-75,0.04090909090909091,0.0174128015176818
-45,-73,,
-45,-71,,
-45,-69,,
-45,-67,,
-45,-65,138.963,2.146013242681135
-45,-63,69.07688888888889,1.8455748127893044
-45,-61,45.59498275862069,1.6683391553691003
-45,-59,35.47478612716763,1.5619927540524463
-45,-57,35.950057692307695,1.567615120821002
-45,-55,1.4053333333333333,0.38117526981422284
-45,-53,1.6875,0.42934847292366174
-45,-51,0.03342857142857143,0.014280464411344066
-45,-49,0.0,0.0
-45,-47,,
-43,-77,0.4266,0.15430221968466445
-43,-75,,
-43,-73,,
-43,-71,,
-43,-69,,
-43,-67,0.241,0.09377178149872986
-43,-65,0.0945,0.039215765903950504
-43,-63,26.292666666666666,1.4360459710688998
-43,-61,113.22526086956522,2.057762158577892
-43,-59,31.394819548872185,1.5104755651071724
-43,-57,210.90797674418604,2.326147304944778
-43,-55,25.867255319148935,1.4292233024349643
-43,-53,23.644935064935066,1.3917276782027521
-43,-51,0.2897090909090909,0.11049176110497891
-43,-49,0.7284761904761905,0.23766340157236526
-43,-47,,
-41,-77,0.4266,0.15430221968466445
-41,-75,,
-41,-73,,
-41,-71,,
-41,-69,,
-41,-67,0.241,0.09377178149872986
-41,-65,0.0945,0.039215765903950504
-41,-63,26.292666666666666,1.4360459710688998
-41,-61,113.22526086956522,2.057762158577892
-41,-59,31.394819548872185,1.5104755651071724
-41,-57,210.90797674418604,2.326147304944778
-41,-55,25.867255319148935,1.4292233024349643
-41,-53,23.644935064935066,1.3917276782027521
-41,-51,0.2897090909090909,0.11049176110497891
-41,-49,0.7284761904761905,0.23766340157236526
-41,-47,,
-39,-77,0.4266,0.15430221968466445
-39,-75,,
-39,-73,,
-39,-71,,
-39,-69,,
-39,-67,0.241,0.09377178149872986
-39,-65,0.0945,0.039215765903950504
-39,-63,26.292666666666666,1.4360459710688998
-39,-61,113.22526086956522,2.057762158577892
-39,-59,31.394819548872185,1.5104755651071724
-39,-57,210.90797674418604,2.326147304944778
-39,-55,25.867255319148935,1.4292233024349643
-39,-53,23.644935064935066,1.3917276782027521
-39,-51,0.2897090909090909,0.11049176110497891
-39,-49,0.7284761904761905,0.23766340157236526
-39,-47,,
-37,-77,0.0,0.0
-37,-75,0.0,0.0
-37,-73,,
-37,-71,,
-37,-69,,
-37,-67,,
-37,-65,,
-37,-63,0.0,0.0
-37,-61,19.448249999999998,1.310656146188633
-37,-59,74.18765625,1.8761465472068433
-37,-57,228.3795384615385,2.3605546745522545
-37,-55,36.58096062992126,1.574967877173283
-37,-53,136.6689834834835,2.138836105694312
-37,-51,50.625921568627454,1.7128678172765122
-37,-49,,
-37,-47,,
-35,-77,0.0,0.0
-35,-75,0.0,0.0
-35,-73,,
-35,-71,,
-35,-69,,
-35,-67,,
-35,-65,,
-35,-63,0.0,0.0
-35,-61,19.448249999999998,1.310656146188633
-35,-59,74.18765625,1.8761465472068433
-35,-57,228.3795384615385,2.3605546745522545
-35,-55,36.58096062992126,1.574967877173283
-35,-53,136.6689834834835,2.138836105694312
-35,-51,50.625921568627454,1.7128678172765122
-35,-49,,
-35,-47,,
-33,-77,0.0,0.0
-33,-75,0.0,0.0
-33,-73,,
-33,-71,,
-33,-69,,
-33,-67,,
-33,-65,,
-33,-63,0.0,0.0
-33,-61,19.448249999999998,1.310656146188633
-33,-59,74.18765625,1.8761465472068433
-33,-57,228.3795384615385,2.3605546745522545
-33,-55,36.58096062992126,1.574967877173283
-33,-53,136.6689834834835,2.138836105694312
-33,-51,50.625921568627454,1.7128678172765122
-33,-49,,
-33,-47,,
-31,-77,,
-31,-75,0.497,0.17522180034305232
-31,-73,,
-31,-71,,
-31,-69,,
-31,-67,,
-31,-65,10.441,1.0584639856022509
-31,-63,0.387,0.14207646107328487
-31,-61,0.7396666666666668,0.24046604213579803
